what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1425413424801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1425413429091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1425413432023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425413434707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1425413439496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425413450494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425413453645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425413453988
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1425413455346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413458747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413459527
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425413460197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1425413480914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425413488512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425413494689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425413495547
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1425413496780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413499416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413501195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413501210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413504939
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425413505547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425413549914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425413567527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425413568042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425413570070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425413628056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413644108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413671790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413676350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413677854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1425413678524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1425413680077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413682798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413690346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425413692324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425413692611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425413695444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425413697523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425413698067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413700718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413701542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425413703689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413707822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413708310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1425413711006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425413712832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413715125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413733138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413736316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413749508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413751675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413753747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413755371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413762210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413763402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413772778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425413776333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425413784374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425413786546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425413787065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425413790726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425413792722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425413793236
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1425413794967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413798678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413799963
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425413800514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425413841642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1425413848631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425413851985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425413857679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425413864574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425413865136
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1425413867429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413870752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413872109
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425413873295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425413880907
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1425413882405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413885977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413886679
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425413887756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413918004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413918815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413919049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413930818
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1425413930824
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425413932102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425413937510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1425413940475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413944868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413964619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413996024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425413996793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414000376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414001545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414002160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414003041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414005856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414007705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414009308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414010336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414047661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414053629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414054533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414056420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414067988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414070477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414073204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414076564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414080036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414081291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414083777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414088484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414092826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414095179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414100915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414103443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414106469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414116453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414120821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414123473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414124222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414124628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414131102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425414171319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414172457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1425414174049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414285027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414336788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425414375335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414390187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414401169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414402027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414402635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414403135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414403571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414403993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414404461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414404897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414413087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414444222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425414453275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414454024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414454392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414454775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414455200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414458840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414460191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414460503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425414463826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414466773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414475648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414506645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414516878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414520841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414522728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414525178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414526800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414528313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414531511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414532775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414535364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414536534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414540154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414569232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414577126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414590042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425414604098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414604769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1425414623567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414626188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414729163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414729943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414767633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414784943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414801485
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414802386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414803117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425414803566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414835179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1425414836349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414836910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414838334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425414839094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414851841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414853522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425414862419
